Type,Year,Make,Model,Price,Milleage,Average Review,Transmission,Color,Interior Color,Features,Availability,Description,Car Image
Truck,2019,Toyota,Tacoma TRD Off Road,"$42,998",19K mi,4.071428571428571                ,Automatic                    ,Gray                    , Black                    ,"Bed Cover, 4WD/AWD, Rear View Camera, Bed Liner, Alloy Wheels, Auxiliary Audio Input","Available at your store CarMax Norwood, MA"," Used 2019 Toyota Tacoma TRD Off Road for sale - $42,998, 18,712 miles with Long Bed, 4WD/AWD, Satellite Radio Ready, Parking Sensors, Rear View Camera, Navigation System",https://media-service.carmax.com/img/vehicles/21575549/1_cleaned.jpg?width=800
Truck,2019,Ford,F150 Raptor,"$72,998",24K mi,4.466666666666667                ,Automatic                    ,Black                    , Black                    ,"Bed Cover, 4WD/AWD, Rear View Camera, Bed Liner, Alloy Wheels, Auxiliary Audio Input","Available at your store CarMax Norwood, MA"," Used 2019 Ford F150 Raptor for sale - $72,998, 23,589 miles with Bed Cover, 4WD/AWD, Turbo Charged Engine, Leather & Suede Seats, Satellite Radio Ready, Parking Sensors",https://media-service.carmax.com/img/vehicles/21548448/1_cleaned.jpg?width=800
Truck,2021,Toyota,Tundra SR5,"$48,998",8K mi,0                ,Automatic                    ,Black                    , Black                    ,"Bed Cover, 4WD/AWD, Rear View Camera, Bed Liner, Alloy Wheels, Auxiliary Audio Input","Available at your store CarMax Norwood, MA"," Used 2021 Toyota Tundra SR5 for sale - $48,998, 7,525 miles with Sport Package, TRD Package, 4WD/AWD, Satellite Radio Ready, Parking Sensors, Rear View Camera",https://media-service.carmax.com/img/vehicles/21392994/1_cleaned.jpg?width=800
Truck,2021,Jeep,Gladiator Sport,"$48,998",3K mi,0                ,Automatic                    ,Gray                    , Black                    ,"Bed Cover, 4WD/AWD, Rear View Camera, Bed Liner, Alloy Wheels, Auxiliary Audio Input","Available at your store CarMax Norwood, MA"," Used 2021 Jeep Gladiator Sport for sale - $48,998, 2,235 miles with Cold Weather Package, Technology Package, 4WD/AWD, Alpine Sound System, Satellite Radio Ready, Parking Sensors",https://media-service.carmax.com/img/vehicles/21048527/1_cleaned.jpg?width=800
Truck,2021,Toyota,Tacoma TRD Off Road,"$39,998",5K mi,0                ,Automatic                    ,Silver                    , Black                    ,"Bed Cover, 4WD/AWD, Rear View Camera, Bed Liner, Alloy Wheels, Auxiliary Audio Input","Available at your store CarMax Norwood, MA"," Used 2021 Toyota Tacoma TRD Off Road for sale - $39,998, 4,146 miles with Satellite Radio Ready, Parking Sensors, Rear View Camera, Navigation System, Bed Liner, Running Boards",https://media-service.carmax.com/img/vehicles/20682888/1_cleaned.jpg?width=800
Truck,2019,Toyota,Tacoma TRD Off Road,"$40,998",36K mi,4.071428571428571                ,Automatic                    ,Black                    , Black                    ,"Bed Cover, 4WD/AWD, Rear View Camera, Bed Liner, Alloy Wheels, Auxiliary Audio Input","Available at your store CarMax Norwood, MA"," Used 2019 Toyota Tacoma TRD Off Road for sale - $40,998, 35,793 miles with Technology Package, Bed Cover, 4WD/AWD, Satellite Radio Ready, Parking Sensors, Rear View Camera",https://media-service.carmax.com/img/vehicles/21575293/1_cleaned.jpg?width=800
Truck,2019,Toyota,Tacoma SR5,"$37,998",28K mi,4.071428571428571                ,Automatic                    ,Red                    , Black                    ,"Bed Cover, 4WD/AWD, Rear View Camera, Bed Liner, Alloy Wheels, Auxiliary Audio Input","Available at your store CarMax Norwood, MA"," Used 2019 Toyota Tacoma SR5 for sale - $37,998, 27,086 miles with Bed Cover, 4WD/AWD, Satellite Radio Ready, Rear View Camera, Running Boards, Alloy Wheels",https://media-service.carmax.com/img/vehicles/21517617/1_cleaned.jpg?width=800
Truck,2011,Nissan,Frontier S,"$19,998",58K mi,4.619047619047619                ,Manual 5 Speed                    ,Red                    , Gray                    ,"Bed Cover, 4WD/AWD, Rear View Camera, Bed Liner, Alloy Wheels, Auxiliary Audio Input","Available at your store CarMax Norwood, MA"," Used 2011 Nissan Frontier S for sale - $19,998, 57,599 miles with Bed Liner, Overhead Airbags, Traction Control, Side Airbags, Tow Hitch, AM/FM Stereo",https://media-service.carmax.com/img/vehicles/21516675/1_cleaned.jpg?width=800
Truck,2019,Toyota,Tundra Platinum,"$50,998",53K mi,5                ,Automatic                    ,Brown                    , Black                    ,"Bed Cover, 4WD/AWD, Rear View Camera, Bed Liner, Alloy Wheels, Auxiliary Audio Input","Available at your store CarMax Norwood, MA"," Used 2019 Toyota Tundra Platinum for sale - $50,998, 52,419 miles with Bed Cover, 4WD/AWD, Leather Seats, JBL Sound System, Satellite Radio Ready, Parking Sensors",https://media-service.carmax.com/img/vehicles/21517717/1_cleaned.jpg?width=800
Truck,2021,Ram,2500 Laramie,"$73,998",24K mi,0                ,Automatic                    ,Blue                    , Black                    ,"Bed Cover, 4WD/AWD, Rear View Camera, Bed Liner, Alloy Wheels, Auxiliary Audio Input","Available at your store CarMax Norwood, MA"," Used 2021 Ram 2500 Laramie for sale - $73,998, 23,415 miles with 4WD/AWD, Leather Seats, Satellite Radio Ready, Parking Sensors, Rear View Camera, Front Seat Heaters",https://media-service.carmax.com/img/vehicles/21575515/1_cleaned.jpg?width=800
Truck,2016,Ford,F150 XLT,"$39,998",18K mi,4.7894736842105265                ,Automatic                    ,Silver                    , Gray                    ,"Bed Cover, 4WD/AWD, Rear View Camera, Bed Liner, Alloy Wheels, Auxiliary Audio Input","Available at your store CarMax Norwood, MA"," Used 2016 Ford F150 XLT for sale - $39,998, 17,801 miles with FX4 Package, 4WD/AWD, Turbo Charged Engine, Satellite Radio Ready, Parking Sensors, Rear View Camera",https://media-service.carmax.com/img/vehicles/21575694/1_cleaned.jpg?width=800
Truck,2015,Ram,1500 Express,"$34,998",47K mi,5                ,Automatic                    ,Silver                    , Gray                    ,"Bed Cover, 4WD/AWD, Rear View Camera, Bed Liner, Alloy Wheels, Auxiliary Audio Input","Available at your store CarMax Norwood, MA"," Used 2015 Ram 1500 Express for sale - $34,998, 46,029 miles with Bed Cover, 4WD/AWD, Satellite Radio Ready, Bed Liner, Running Boards, Alloy Wheels",https://media-service.carmax.com/img/vehicles/21748697/1_cleaned.jpg?width=800
Truck,2021,Chevrolet,Silverado 1500 LT Trail Boss,"$58,998",10K mi,0                ,Automatic                    ,Silver                    , Black                    ,"Bed Cover, 4WD/AWD, Rear View Camera, Bed Liner, Alloy Wheels, Auxiliary Audio Input","Available at your store CarMax Norwood, MA"," Used 2021 Chevrolet Silverado 1500 LT Trail Boss for sale - $58,998, 9,658 miles with Z71 Package, Bed Cover, 4WD/AWD, Rear View Camera, Navigation System, Front Seat Heaters",https://media-service.carmax.com/img/vehicles/21749032/1_cleaned.jpg?width=800
Truck,2019,Honda,Ridgeline RTL,"$35,998",59K mi,4                ,Automatic                    ,Silver                    , Black                    ,"Bed Cover, 4WD/AWD, Rear View Camera, Bed Liner, Alloy Wheels, Auxiliary Audio Input","Available at your store CarMax Norwood, MA"," Used 2019 Honda Ridgeline RTL for sale - $35,998, 58,830 miles with Bed Cover, 4WD/AWD, Leather Seats, Rear View Camera, Front Seat Heaters, Bed Liner",https://media-service.carmax.com/img/vehicles/21748714/1_cleaned.jpg?width=800
Truck,2014,Toyota,Tacoma ,"$37,998",87K mi,4.684210526315789                ,Automatic                    ,Silver                    , Gray                    ,"Bed Cover, 4WD/AWD, Rear View Camera, Bed Liner, Alloy Wheels, Auxiliary Audio Input","Available at your store CarMax Norwood, MA"," Used 2014 Toyota Tacoma  for sale - $37,998, 86,481 miles with Bed Cover, 4WD/AWD, Leather Seats, JBL Sound System, Satellite Radio Ready, Rear View Camera",https://media-service.carmax.com/img/vehicles/21518026/1_cleaned.jpg?width=800
Truck,2018,Chevrolet,Colorado Work Truck,"$25,998",47K mi,4.8                ,Manual 6 Speed                    ,White                    , Gray                    ,"Bed Cover, 4WD/AWD, Rear View Camera, Bed Liner, Alloy Wheels, Auxiliary Audio Input","Available at your store CarMax Norwood, MA"," Used 2018 Chevrolet Colorado Work Truck for sale - $25,998, 46,340 miles with Bed Cover, Rear View Camera, Bed Liner, Running Boards, Auxiliary Audio Input, Overhead Airbags",https://media-service.carmax.com/img/vehicles/21748429/1_cleaned.jpg?width=800
Truck,2021,Ford,Ranger XLT,"$42,998",8K mi,0                ,Automatic                    ,Gray                    , Gray                    ,"Bed Cover, 4WD/AWD, Rear View Camera, Bed Liner, Alloy Wheels, Auxiliary Audio Input","Available at your store CarMax Norwood, MA"," Used 2021 Ford Ranger XLT for sale - $42,998, 7,969 miles with Technology Package, 4WD/AWD, Turbo Charged Engine, Satellite Radio Ready, Rear View Camera, Navigation System",https://media-service.carmax.com/img/vehicles/21748341/1_cleaned.jpg?width=800
Truck,2018,Chevrolet,Silverado 1500 LT Z71,"$43,998",37K mi,4.428571428571429                ,Automatic                    ,Gray                    , Gray                    ,"Bed Cover, 4WD/AWD, Rear View Camera, Bed Liner, Alloy Wheels, Auxiliary Audio Input","Available at your store CarMax Norwood, MA"," Used 2018 Chevrolet Silverado 1500 LT Z71 for sale - $43,998, 36,894 miles with Bed Cover, 4WD/AWD, Satellite Radio Ready, Rear View Camera, Navigation System, Front Seat Heaters",https://media-service.carmax.com/img/vehicles/21517547/1_cleaned.jpg?width=800
Truck,2015,Chevrolet,Silverado 1500 LT,"$34,998",67K mi,4.46875                ,Automatic                    ,White                    , Black                    ,"Bed Cover, 4WD/AWD, Rear View Camera, Bed Liner, Alloy Wheels, Auxiliary Audio Input","Free Shipping from CarMax North Attleboro, MA"," Used 2015 Chevrolet Silverado 1500 LT for sale - $34,998, 66,838 miles with 4WD/AWD, Satellite Radio Ready, Bed Liner, Alloy Wheels, Auxiliary Audio Input, Overhead Airbags",https://media-service.carmax.com/img/vehicles/20677471/1_cleaned.jpg?width=800
Crossover,2011,Honda,CR-V LX,"$14,599",126K mi,4.506849315068493                ,Automatic                    ,Blue                    , Gray                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2011 Honda CR-V LX for sale - $14,599, 125,960 miles with 4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags",https://media-service.carmax.com/img/vehicles/21517861/1_cleaned.jpg?width=800
Crossover,2018,BMW,X5 XDrive50i,"$54,998",33K mi,4.5                ,Automatic                    ,White                    , Black                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2018 BMW X5 XDrive50i for sale - $54,998, 32,558 miles with Luxury Package, Premium Package, Head Up Display, Run Flat Tires, 4WD/AWD, Turbo Charged Engine",https://media-service.carmax.com/img/vehicles/21517664/1_cleaned.jpg?width=800
Crossover,2019,GMC,Acadia SLT,"$39,998",22K mi,3.6666666666666665                ,Automatic                    ,Red                    , Black                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2019 GMC Acadia SLT for sale - $39,998, 21,796 miles with 4WD/AWD, Leather Seats, BOSE Sound System, Satellite Radio Ready, Parking Sensors, Rear View Camera",https://media-service.carmax.com/img/vehicles/21517939/1_cleaned.jpg?width=800
Crossover,2014,Subaru,Forester 2.5I,"$17,998",85K mi,4                ,Automatic                    ,White                    , Gray                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2014 Subaru Forester 2.5I for sale - $17,998, 84,398 miles with 4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags",https://media-service.carmax.com/img/vehicles/21298461/1_cleaned.jpg?width=800
Crossover,2019,Toyota,RAV4 Adventure,"$41,998",7K mi,4.846153846153846                ,Automatic                    ,Black                    , Black                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2019 Toyota RAV4 Adventure for sale - $41,998, 6,404 miles with 4WD/AWD, Leatherette Seats, Parking Sensors, Rear View Camera, Sunroof(s), Front Seat Heaters",https://media-service.carmax.com/img/vehicles/21748963/1_cleaned.jpg?width=800
Crossover,2016,Hyundai,Santa Fe Sport 2.0T,"$25,998",37K mi,4.461538461538462                ,Automatic                    ,White                    , Gray                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2016 Hyundai Santa Fe Sport 2.0T for sale - $25,998, 36,119 miles with Ultimate Package, Turbo Charged Engine, Leather Seats, Infinity Sound System, Satellite Radio Ready, Parking Sensors",https://media-service.carmax.com/img/vehicles/21426109/1_cleaned.jpg?width=800
